Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
São Félix da Marinha,50.92
União das freguesias de Grijó e Sermonde,48.95
União das freguesias de Gulpilhares e Valadares,49.69
União das freguesias de Mafamude e Vilar do Paraíso,48.31
União das freguesias de Pedroso e Seixezelo,50.25
"União das freguesias de Sandim, Olival, Lever e Crestuma",46.87
União das freguesias de Santa Marinha e São Pedro da Afurada,49.24
União das freguesias de Serzedo e Perosinho,47.99
Vilar de Andorinho,47.31
Alto Tâmega,36.06
Boticas,36.31
Alturas do Barroso e Cerdedo,36.41
Ardãos e Bobadela,32.17
Beça,44.21
Boticas e Granja,42.88
"Codessoso, Curros e Fiães do Tâmega",32.61
Covas do Barroso,28.42
Dornelas,29.01
Pinho,27.63
Sapiãos,30.97
Vilar e Viveiro,25.90
Chaves,38.75
Águas Frias,34.64
Anelhe,34.25
Bustelo,36.27
Cimo de Vila da Castanheira,18.50
Curalha,36.86
Ervededo,21.94
Faiões,32.68
Lama de Arcos,20.50
Mairos,34.12
Moreiras,31.47
Nogueira da Montanha,24.71
Oura,34.25
Outeiro Seco,44.46
Paradela,32.68
Planalto de Monforte (União das freguesias de Oucidres e Bobadela),18.80
Redondelo,35.21
Sanfins,8.72
Santa Leocádia,21.40
Santa Maria Maior,47.45
Santo António de Monforte,34.77
Santo Estêvão,35.22
São Pedro de Agostém,38.33
São Vicente,15.56
Tronco,18.42
União das freguesias da Madalena e Samaiões,37.45
"União das freguesias das Eiras, São Julião de Montenegro e Cela",35.14
União das freguesias de Calvão e Soutelinho da Raia,20.72
União das freguesias de Loivos e Póvoa de Agrações,26.64
União das freguesias de Santa Cruz/Trindade e Sanjurge,45.03
União das freguesias de Soutelo e Seara Velha,34.66
União das freguesias de Travancas e Roriz,18.55
Vale de Anta,44.88
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",35.54
Vila Verde da Raia,37.11
Vilar de Nantes,41.68
Vilarelho da Raia,21.20
Vilas Boas,29.05
Vilela do Tâmega,35.08
Vilela Seca,15.77
Montalegre,34.18
Cabril,30.85
Cervos,34.42
Chã,37.01
Covelo do Gerês,31.51
Ferral,25.27
Gralhas,19.43
Morgade,30.56
Negrões,44.35
Outeiro,35.38
Pitões das Junias,40.14
Reigoso,23.81
Salto,35.43
Santo André,28.97
Sarraquinhos,28.01
Solveira,14.60
Tourém,28.57
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",28.97
União das freguesias de Meixedo e Padornelos,30.92
União das freguesias de Montalegre e Padroso,46.14
"União das freguesias de Paradela, Contim e Fiães",29.61
União das freguesias de Sezelhe e Covelães,31.36
União das freguesias de Venda Nova e Pondras,26.40
União das freguesias de Viade de Baixo e Fervidelas,35.69
União das freguesias de Vilar de Perdizes e Meixide,23.44
Vila da Ponte,35
Ribeira de Pena,37.38
Alvadia,25.16
Canedo,21.76
Santa Marinha,39.51
União das freguesias de Cerva e Limões,36.07
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,40.67
Valpaços,29.91
Água Revés e Crasto,25.84
Algeriz,28.54
Bouçoães,4.76
Canaveses,16.27
