Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
Moldes,28.01
Rossas,31.49
Santa Eulália,34.55
São Miguel do Mato,22.88
Tropeço,28.49
União das freguesias de Arouca e Burgo,40.41
União das freguesias de Cabreiros e Albergaria da Serra,15.85
União das freguesias de Canelas e Espiunca,22.22
União das freguesias de Covelo de Paivó e Janarde,19.48
Urrô,32.43
Várzea,33.95
Espinho,42.78
Espinho,57.25
Paramos,30.09
Silvalde,31.13
União das freguesias de Anta e Guetim,39.20
Gondomar,44.13
Baguim do Monte (Rio Tinto),46.04
Lomba,25.82
Rio Tinto,48.56
União das freguesias de Fânzeres e São Pedro da Cova,37.33
União das freguesias de Foz do Sousa e Covelo,37.86
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",46.54
União das freguesias de Melres e Medas,36.14
Maia,53.42
Águas Santas,50.58
Castêlo da Maia,49.53
Cidade da Maia,59.29
Folgosa,46.41
Milheirós,50.62
Moreira,55.80
Nogueira e Silva Escura,50.85
Pedrouços,49.80
São Pedro Fins,42.91
Vila Nova da Telha,53.40
Matosinhos,50.32
"União das freguesias de Custóias, Leça do Balio e Guifões",44.94
União das freguesias de Matosinhos e Leça da Palmeira,55.76
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",40.64
União das freguesias de São Mamede de Infesta e Senhora da Hora,55.40
Oliveira de Azeméis,35.91
Carregosa,34.28
Cesar,37.08
Fajões,31.39
Loureiro,35.32
Macieira de Sarnes,32.94
Ossela,28.15
São Martinho da Gândara,29.59
São Roque,33.55
União das freguesias de Nogueira do Cravo e Pindelo,35.31
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",42.49
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",30.59
Vila de Cucujães,32.46
Paredes,36.30
Aguiar de Sousa,32.54
Astromil,42.74
Baltar,38.73
Beire,28.66
Cete,38.34
Cristelo,31.81
Duas Igrejas,30.06
Gandra,38
Lordelo,28.81
Louredo,28.83
Parada de Todeia,37.06
Paredes,45.05
Rebordosa,34.29
Recarei,34.75
Sobreira,36.10
Sobrosa,28.64
Vandoma,32.29
Vilela,29.68
Porto,58.36
Bonfim,60.52
Campanhã,37.12
Paranhos,58.81
Ramalde,60.62
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",67.76
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",61.50
União das freguesias de Lordelo do Ouro e Massarelos,61.42
Póvoa de Varzim,42.46
Balazar,37.24
Estela,28.48
Laundos,31.88
Rates,32.83
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",47.46
União das freguesias de Aguçadoura e Navais,28.43
"União das freguesias de Aver-o-Mar, Amorim e Terroso",41.49
Santa Maria da Feira,39.45
Argoncilhe,37.24
Arrifana,36.88
Escapães,40.22
Fiães,34.47
Fornos,39.75
Lourosa,35.35
Milheirós de Poiares,35.56
Mozelos,42.44
Nogueira da Regedoura,40.21
Paços de Brandão,44.51
Rio Meão,37.62
Romariz,29.49
Sanguedo,37.13
Santa Maria de Lamas,40.09
São João de Ver,42.60
São Paio de Oleiros,36.56
União das freguesias de Caldas de São Jorge e Pigeiros,34.19
"União das freguesias de Canedo, Vale e Vila Maior",32.03
"União das freguesias de Lobão, Gião, Louredo e Guisande",34.74
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",52.83
União de freguesias de São Miguel de Souto e Mosteirô,32.67
Santo Tirso,36.30
Agrela,38.05
Água Longa,42.06
Aves,37.51
Monte Córdova,32.50
Negrelos (São Tomé),28.67
Rebordões,32.76
Reguenga,32.61
Roriz,28.40
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",35.46
Vila Nova do Campo,29.36
União das freguesias de Carreira e Refojos de Riba de Ave,35.27
União das freguesias de Lamelas e Guimarei,39.41
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",42.78
Vilarinho,29.02
São João da Madeira,44.95
São João da Madeira,44.95
Trofa,39.20
Covelas,31.87
Muro,41.56
União das freguesias de Alvarelhos e Guidões,32.57
União das freguesias de Bougado (São Martinho e Santiago),41.40
União das freguesias de Coronado (São Romão e São Mamede),38.16
Vale de Cambra,35.93
Arões,19.59
Cepelos,30.29
Junqueira,26.90
Macieira de Cambra,39.25
Roge,29.76
São Pedro de Castelões,35.81
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",41.78
Valongo,45.11
Alfena,41.25
Ermesinde,46.29
União das freguesias de Campo e Sobrado,33.82
Valongo,52.28
Vila do Conde,41.91
Árvore,48.13
Aveleda,36.78
Azurara,49.26
Fajozes,35.22
Gião,39.04
Guilhabreu,34.96
Junqueira,31.64
Labruge,48.38
Macieira da Maia,38.43
Mindelo,54.98
Modivas,37.06
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",30.83
